입찰공고명,공고기관명,최종낙찰금액,최종낙찰율,최종낙찰일자,최종낙찰업체명,최종낙찰업체대표자명,최종낙찰업체담당자명,최종낙찰업체주소
2022년 의무장비(혈액가스및전해질분석기) 구매,제5738부대,,80.815,2021-09-26,리치패션용품,허정성,이진우,"서울특별시 강남구 테헤란로512, 10층(대치동, 신안빌딩)"
미래환경 변화에 적합한 인력획득 홍보 발전방안 연구,해군본부,,87.363,2018-10-27,산업연구원,정봉원,,"충청남도 논산시 대학로 121, 건양대학교 산학협력단(내동)"
국방감항인증원(가칭) 설립 및 운영에 관한 연구,육군교육사령부,,89.657,2020-08-25,,김주희,김영진,
24-방공관제 작전제한 해소 추가레이다 설치방안 연구,국군수도병원,,,2024-05-25,(유)목양,김한희,김지훈,대전광역시 대덕구 대화로160-0 (대화동) 10동 205호
무인항공기 무인비행장치 전문 운용사 자격신설 연구,방위사업청(운영지원과),94610979.0,,,,,박동순,
전자도서관정보체계 고도화개념연구용역(2019G005-H),공군작전사령부,84421225.0,,2017-12-27,(사)대한토목학회,이용준,이동희,경기도 고양시 덕양구 권율대로656-0 (원흥동) 17층 1739호
잠수함용 부유식기만기 경미한 성능개량 선행연구,국방부(운영지원과),,90.215,,(주)한일종합상사,이영환,김태욱,서울특별시 강남구 선릉로93길54-0 (역삼동) 일환빌딩 6097호
(23F009-A)지리공간지형분석 Terra SW 등 금융리스,4284부대,162874755.0,92.414,2021-11-30,(주)시큐에이스,오중산,조성희,서울특별시 동작구 여의대방로36길92(대방동)
18년 지상군 전시자원소요분석모델 유지보수 용역,종합보급창,,82.135,2022-07-21,주식회사 원스타,김석철,정인영,"서울특별시 금천구 가산디지털1로30,1712호 (가산동,에이스하이엔드타워10차)"
(226320-B) 지형분석장비 교체(리스물건),공군군수사령부,,,2024-06-03,사단법인 대한민국 육군발전협회,최권석,전세희,"대전광역시 서구 대덕대로249번길30-0, 403호(둔산동, 베스트피엘씨빌딩)"
21년 임상의학연구센터 통계프로그램 구매,육군항공학교,56369097.0,70.598,2019-07-29,(주)두두아이티,김재영,김중곤,"서울특별시 용산구 한강대로62길41, 3층 (한강로1가)"
22-7차 연구장비 구매 계약 - 멸균소독기 소형,제2879부대,80828783.0,96.767,2021-04-24,에스원세이프,김봉현,조노희,"경기도 용인시 기흥구 기흥로58-1 (구갈동) 기흥ICT밸리 SK V1, A동 2406호"
철근콘크리트 방폭문 파괴거동분석 및 실증실험 연구,육군교육사령부,27642055.0,,2016-04-04,서울사이버대학교 산학협력단,허건영,노현정,"서울특별시 종로구 율곡로17길7-38, 수지빌딩 7층(이화동)"
군인연금관리공단 설립 필요성 등 검토를 위한 연구,국군재정관리단,172104477.0,,,,한민구,,
리더십코칭 효과성 평가에 관한 연구용역,국군재정관리단,67430739.0,78.28,2021-03-08,재단법인 한국군사문제연구원,김형철,,"경기도 성남시 수정구 위례대로83(창곡동, 국방문화센터)"
육군 부사관학교 시설종합발전계획 연구용역,국군재정관리단,,109.148,2017-01-27,주식회사 지노스,,,
20-MTU엔진 PBL 비용대효과분석 및 성과지표 연구,국군재정관리단,475688.0,75.746,2019-07-06,,정봉원,유형우,충청남도 논산시 양촌면 황산벌로1040
해병대 작전환경에 적합한 M&S 전력분석 연구 용역,방위사업청(운영지원과),,89.278,2017-09-15,,,,
22-공-소음측정 및 분석시스템 구매(229124-F),국군재정관리단,465308044.0,72.643,2021-01-23,,,전형준,
정보통신기능 성능개량 체계 구축 연구 용역,공군본부,39420922.0,91.548,,(사)21세기군사연구소,,이수행,
(246248-C) 모바일기기 증거분석 교체(HW)(리스자산),국군의무사령부,808857507.0,,2022-07-25,사)한국미래문제연구원,이대용,전영섭,서울특별시 용산구 한강대로46길25-0 (한강로2가) 401호
악성코드 정보제공 및 분석 서비스 구매,국군재정관리단,204131227.0,87.201,2019-01-20,주식회사 베테랑콤,홍순국,이희석,서울특별시 용산구 한강대로46길25-0 (한강로2가) 401호
지질자원연구원 MASINT DATA 수신체계 구축사업,공군군수사령부,109778243.0,90.097,2018-01-11,배재대학교 산학협력단,김재욱,조윤교,세종특별자치시  전동면 보평길167-0
18년 00부대 사이버 침해사고 조사/분석체계 도입사업,방위사업청(운영지원과),,81.389,2019-10-07,(주)싸이버텍,김규호,,서울특별시 종로구 종로3길17 (청진동 디타워 디2)
의무장비 혈액가스분석기 등 3종 구매,국방대학교,121868335.0,67.402,,(주)프라이전트,조노희,김규호,경기도 군포시 고산로151번길28-0 (당정동) 403호
해병대 인력획득체계 분석 발전 방향 연구 용역,해군본부,11904540.0,71.227,,,,장재필,서울특별시 노원구 화랑로574-0 (공릉동)
대형양산사업의 제반 조건 분석 및 방안 연구,국군재정관리단,67074431.0,91.276,2020-04-28,(주)리서치랩,정주교,정재훈,"경상북도 구미시 대학로 61, 금오공과대학교 산학협력단(양호동)"
요분석기 사단용 2EA 구매,국군복지단,234262825.0,,2024-05-08,에이치앤파워(주),신지웅,박서연,서울특별시 관악구 관악로1 (신림동)
아데노바이러스 55형 백신개발 타당성 검토 연구,국방부(운영지원과),172872284.0,107.564,2017-06-29,한양대학교 에리카산학협력단,김명운,이지선,"경기도 수원시 영통구 월드컵로 206(원천동, 아주대학교)"
대형공격헬기의 효과적인 시설사업 추진방안 연구,국군재정관리단,193978712.0,73.205,2019-04-11,(주)에프오알엠도시건축공간연구소,,조대현,"서울특별시 용산구 이태원로29, 421호(용산동1가, 전쟁기념관)"
통섭형 인재 육성을 위한 직무순환 방안 연구 용역,육군본부,134636000.0,87.054,2019-07-19,사단법인 한국자살예방협회,이승휘,,서울특별시 용산구 한강대로46길25-0 (한강로2가) 401호
해병대리더십교육성과측정체계개발연구용역,국군재정관리단,55604869.0,75.907,2017-10-14,,,,
모바일기기 증거분석체계 구매(교체),육군본부,75997566.0,95.739,,한남대학교 산학협력단,김진원,,서울특별시 노원구 화랑로574-0 (공릉동)
(21F093-K)'22년~'23년 작전지속지원분석모델유지보수,제9691부대,129825873.0,88.056,2024-09-01,,,이상규,
국방표준서 제정(7차) 연구,국방부(운영지원과),132438065.0,124.287,2021-02-16,(주)디앤오종합건축사사무소,한민구,,서울특별시 노원구 화랑로574-0 (공릉동)
육군 NCS직무표준화 및 군내 활용방안 연구 용역,해군본부,,,2018-05-05,사단법인 안보경영연구원,전건욱,,"서울특별시 강남구 언주로527, 10층 (역삼동)"
00포대 주변지역 토양오염 원인조사 연구용역,국군제1068부대,15113347.0,85.861,2022-01-09,한국자동차연구원,강창선,성종영,경기도 수원시 장안구 하률로12번길80-0 (천천동)
기술인력육성 보조사업자 운영성과평가 및 연구,합동참모본부,,81.105,2018-06-23,한국항공대학교 산학협력단,김진원,박장권,"서울특별시 송파구 법원로127-0 (문정동,대명벨리온)1117,1118호"
2019년 의무장비(요분석기) 구매-재투자,육군본부,,93.617,2023-11-27,주식회사 온품,김은기,김지훈,서울특별시 동대문구 장한로27길29 (장안동) 201비호
미래혁신을위한육군조직문화진단및실천지표연구,공군본부,,88.154,2021-05-28,,,,
국방표준화 개발을 위한 협력기관 지정 활용방안 연구,육군본부,27057159.0,,2016-10-11,,,,
LMS(학습관리시스템) 개념 연구용역,국군재정관리단,148670014.0,,,,,,
항-19-088 자동면역분석기 시약 등 117종,육군교육사령부,,,2020-05-30,,,박서연,
76mm 함포 약실 정밀검사용 장비개발 연구용역,국방부(운영지원과),9168473.0,77.668,,(주)에이치제이중공업,정주교,안주섭,"경기도 성남시 분당구 판교로 255(삼평동, 판교 이노밸리 이동 403호 601호)"
20-PKMR엔진 PBL 비용대효과분석 및 성과지표 연구,육군교육사령부,182495881.0,,,나우통상,전옥녀,오중택,경상남도 창원시 마산회원구 양덕북5길97 (양덕동1층상가)
육군 병영생활관 신축기준 연구용역,국군수도병원,66242665.0,92.986,,주식회사  인섹시큐리티,최원창,김영진,전라북도 무주군 무주읍 향학로27-1
국방연구시설·장비 종합관리 방안 연구,국방부(운영지원과),,105.754,2016-08-27,사단법인 안보경영연구원,전건욱,,"서울특별시 강남구 언주로527, 10층 (역삼동)"
기초자치단체 비상대비업무 담당자 신편방안 연구,국군재정관리단,,80.93,2022-01-28,사단법인 미래안보산업전략연구원,,정아름,"대전광역시 서구 대덕대로249번길30-0, 403호(둔산동, 베스트피엘씨빌딩)"
(246247-D) 이동형 심리생리반응 분석장비 구매,국방대학교,,87.0,2024-10-31,주식회사 좋은소리,이재관,정주영,충청남도 아산시 삼동로40 (모종동)3층 301-37호
전술환경 下 효율적 이동통신체계 운용방안 연구용역,국방부(운영지원과),81742975.0,,,(사)한국전략문제연구소,박정기,,"서울특별시 용산구 청파로 40, 삼구빌딩 1815호(한강로3가)"
지형분석도 제작 재료 구매,육군군수사령부,258493039.0,78.258,2023-02-28,주식회사 유토비즈,최철욱,이경신,"경기도 고양시 일산동구 호수로358-39 706호(백석동,동문굿모닝타워1차)"
소형공격드론 사업분석 용역,계룡대근무지원단,,71.411,2023-06-29,주식회사 천일,나인성,곽은혜,"서울특별시 송파구 중대로135, 동관 1201호 (가락동, 아이티벤처타워)"
정보학교 사이버공간정보 연구용역,국군재정관리단,,,,,,박소연,
전자기스펙트럼 측정/분석체계 운용방안 연구,육군본부,,73.945,2022-09-25,,,박소연,
하이드로릭 입자분석기 구매,육군본부,14477572.0,,,건양대학교 산학협력단,고중혁,양진,"경기도 용인시 처인구 명지로 116, 명지대학교(남동)"
빅데이터 기반 공중전투 기동 분석기술 연구용역,국방부(운영지원과),80811821.0,74.226,2023-04-11,한성대학교 산학협력단,오중산,유동호,"서울특별시 송파구 법원로11길25-0, A동 1310호(문정동, 에이치비즈니스파크)"
군 성폭력 사건 분석 연구,육군본부,178612431.0,104.344,,(주)에프오알엠도시건축공간연구소,민경찬,이상규,"서울특별시 금천구 가산디지털2로184, 10층 1017호(가산동, 벽산디지털밸리2차)"
18년 발칸 추적훈련 분석기(제조),해군본부,21698936.0,99.271,2023-04-18,,,황병윤,
함탑재정찰용 무인항공기 사업분석,제6619부대,,,2020-05-01,진해상사,정성문,이재숙,"서울특별시 금천구 가산디지털1로30,1712호 (가산동,에이스하이엔드타워10차)"
23-중.장기 공군 군수정책 발전방향 연구 용역,제9691부대,,84.983,2022-08-29,사단법인 한국드론혁신협회(KDIA),김진원,조진환,대전광역시 유성구 대학로291-0 (구성동)
22-해-AI 빅데이터 분석 개발용 학습 플랫폼 구축,공군본부,79300989.0,77.971,2024-08-21,(주)비오더블테크놀로지,나인성,임소영,충청남도 아산시 신창면 순천향로22 앙뜨레프레너관 E404호
잠재적 미사일 위협대비 워게임 활용방안 등 연구,방위사업청(운영지원과),476628216.0,84.978,2017-02-22,단국대학교 산학협력단,강우철,서준호,서울특별시 금천구 벚꽃로244-0 (가산동)810호 벽산디지털밸리5차
복합무기체계 시험평가 제도개선에 관한 연구,육군교육사령부,123853532.0,85.504,2018-07-24,사단법인 안보경영연구원,전건욱,,"서울특별시 강남구 언주로527, 10층 (역삼동)"
중금속 가열분석기 등 1항목 구매(의무),국군재정관리단,158793624.0,,,주식회사 도화엔지니어링,김진원,김지훈,"충청남도 논산시 대학로 121, 건양대학교 산학협력단(내동)"
안정적인 해병항공 운용방안 연구 용역,제9691부대,39047567.0,85.22,2018-08-24,,,김동준,
수성사격장 주변지역 주민 의식조사 연구,해군군수사령부,547604685.0,,2023-07-29,,,,
21-3차 조달 연구장비 구매 계약 - 제빙기 가루형,국방대학교,35857294.0,103.853,2019-04-13,,,황병윤,
미-23-미사일방어부대 효율적 부지 활용방안 연구,국군의무사령부,7361382.0,,2020-06-08,사단법인 안보경영연구원,전건욱,,"서울특별시 강남구 언주로527, 10층 (역삼동)"
드론 유형별 시험평가 방안 연구용역,국방부군사편찬연구소,3974325.0,89.339,,,장복철,,서울특별시 노원구 화랑로574-0 (공릉동)
자주발칸 제어용 모듈 대체품 개발 연구용역,국군복지단,,107.093,2022-10-25,,,,
CMMC 관련 통합실태조사 개선안 연구,육군본부,,73.626,,,,박계향,
23-F-전자정보 수집/분석장비 유지보수,국군재정관리단,,110.705,2024-05-10,계명대학교 산학협력단,김태호,한대일,"서울특별시 영등포구 국회대로70길12, 802호 (여의도동,대산빌딩)"
(217151-F)21년 연구활동 재료(시약) 구매,제9691부대,261240898.0,,2018-11-21,(사)21세기군사연구소,유상호,,"서울특별시 노원구 광운로 20(월계동, 광운대학교)"
공군기지 작전환경을 고려한 무인기 운영방안 연구,국군재정관리단,,,2017-03-28,사단법인 대한민국공군발전협회,신명화,유혜련,경기도 오산시 삼미로47번길81-12 (내삼미동)
통합 센서검사기 개발 연구용역,국군제1068부대,3354931.0,,,,,조반석,"서울특별시 송파구 법원로11길25-0, A동 1310호(문정동, 에이치비즈니스파크)"
악성코드 정보제공 및 분석 서비스 구매,국방부(운영지원과),,,2018-12-03,,,남궁성호,
19~20년 육군M&S센터 전문분석관 운용 용역,국군재정관리단,18294106.0,89.762,2019-06-23,,,,"서울특별시 금천구 가산디지털2로184, 10층 1017호(가산동, 벽산디지털밸리2차)"
20-효율적인 성능개량 방안 도출 연구,해군본부,,95.489,2019-08-11,주식회사도시경영연구원,정봉원,,"서울특별시 영등포구 의사당대로22, 8층 9층 10층(여의도동, 이룸센터)"
통신전자장비 전계강도 측정분석장비 개발,국방대학교,264426900.0,91.258,,유한회사 갈등조정센터,노광현,김승범,대전광역시 유성구 노은로170-0 (지족동) 스타시티빌딩 6층
18-공군 비행교수법 교육 프로그램 개선 및 개발 연구,국군제1068부대,280676261.0,86.881,,에스엘(SL)상사,고기종,이혜진,"부산광역시 수영구 구락로23, 2층 (수영동)"
무인전투체계 발전방향 연구,국군의무사령부,36524343.0,92.675,,,,김시나,세종특별자치시  시청대로370-0
(20G060-A)IP교환기및국방보안조사분석시스템금융리스,육군본부,,85.369,2023-06-04,에스엠트레이딩,송상의,정명화,경기도 안양시 동안구 관양로269-5 (관양동) 3층
항공기 RCS/IR Signature 추출 및 해석 연구,국방부(운영지원과),,82.601,,,,황병윤,
(20G071-H)21년 스펙트럼 측정/분석장비 유지보수용역,방위사업청(운영지원과),80191520.0,89.94,,중앙대학교 산학협력단,오철홍,기유경,
24년 군 양성평등지표 조사 및 분석 연구,국군재정관리단,31489875.0,91.426,2018-08-16,,,왕금분,
해군 스마트 항공기지 발전방향 연구용역,국군재정관리단,333048683.0,96.331,2019-06-06,사단법인 안보경영연구원,박정기,,"서울특별시 강남구 언주로527, 10층 (역삼동)"
AI 적용 무기효과 산출 고도화 연구,공군본부,50655500.0,,2020-06-26,,주현,이철호,
작전환경 변화 및 공군 합동 고려한 포병 발전 연구,제9691부대,40059056.0,,,,,황미영,
동원위주 부대 기계화 장비 개편시 효율성 분석 연구,4284부대,,86.917,,(재)한국해양전략연구소,,,
CN-235 항공기 특성(RCS/IR Signature) 연구,해군본부,24556716.0,97.52,,부경대학교 산학협력단,정순애,양희성,대전광역시 동구 옻밭5길159-0 (판암동)
무기체계 시험평가 사고예방 안전매뉴얼 연구,방위사업청(운영지원과),,,2020-06-15,와이엠,최진식,이준직,서울특별시 용산구 한강대로46길25-0 (한강로2가) 401호
정신전력교육 기본교재 재발간에 따른 사전 연구 용역,육군교육사령부,406363741.0,,2020-06-19,주식회사 엘씨케이테크놀로지스,이권민,최명진,"경기도 안양시 동안구 학의로282, B동 1616호"
해성-I 유도탄 창정비요소개발 비용분석 연구,국방대학교,,,,(주)하이엠디,강종효,이진우,경기도 안양시 동안구 흥안대로445(평촌동) 제6층 615호 안양평촌동지식산업센터
신분별 직무분석을 통한 적정 계급구조 연구,공군본부,58061493.0,88.598,2020-06-26,,,,
17년 비용분석모델(PRICE) 유지보수 용역,4284부대,85727836.0,92.286,2022-06-03,(주)휴먼이퀘이션,김은기,박지은,서울특별시 성북구 삼선교로16길116-0 (삼선동2가)
스펙트럼분석기 등 5종 구매,육군본부,,80.176,2022-07-15,(사)21세기군사연구소,,박준성,서울특별시 서초구 사임당로32 (서초동) 재우빌딩 9층
(20F088-A)소음영향도 작성을위한 소음측정및분석용역,육군본부,85839195.0,73.138,2020-07-12,성원금속,최규식,박유정,서울특별시 강남구 논현로189길6 (압구정동)
공군 무기체계 EMP 방호능력 향상 방안 연구,육군교육사령부,,83.982,2018-01-03,,박정기,이기석,
교육생 숙소 시설기준 연구용역,국방부(운영지원과),17405293.0,89.767,2021-01-01,,백원철,,서울특별시 영등포구 여의대방로43나길20-0 (신길동)
21년 차세대 첨단함정 건조가능성 검토 연구용역(ll),제9691부대,202482938.0,,,사단법인 안보경영연구원,전건욱,,"서울특별시 강남구 언주로527, 10층 (역삼동)"
삼군부 재현 및 이전을 위한 연구,국방부(운영지원과),178999842.0,,2017-02-18,사단법인 안보경영연구원,,,
해군 통합연동체계 SW 연구용역,국군재정관리단,,113.397,,(사)21세기군사연구소,이광형,,"경상남도 창원시 마산합포구 경남대학로7-0 (월영동, 경남대학교)"
23-24년 공군 항공무장효과분석모델 통합유지보수,공군본부,254648385.0,99.559,2022-06-25,주식회사 한솔엔지니어링글로벌,한기관,김채영,"대전광역시 유성구 대학로 99(궁동, 충남대학교)"
20-161 218 동물용 자동분석기 등 3품목,육군본부,,82.004,2017-12-08,주식회사 코테스,조종열,노민택,"충청남도 천안시 서북구 쌍용17길8, 3동 1202호(쌍용동, 쌍용모란아파트)"
함정 설계 건조 기준 및 함정규칙 정립 연구 용역,공군사관학교,,,,사단법인 안보경영연구원,전건욱,,"서울특별시 강남구 언주로527, 10층 (역삼동)"
’19년 디지털 포렌식 분석장비 교체(20197105-A),국군재정관리단,38812873.0,90.843,2021-02-14,예원,김주형,김현묵,"서울특별시 서대문구 연세로 50, 연세대학교(신촌동)"
해군  해경운용 및 전방위 안보 강화방안 연구용역,4284부대,116381463.0,89.054,2018-09-29,(사)한국전략문제연구소,전건욱,황병윤,
[24-육-173] 영상분석 SW 라이선스 구매(리스물건),국군화생방방호사령부,83167775.0,94.746,2023-09-22,주식회사 비용관리연구원,안인수,홍광표,"대전광역시 유성구 대학로 27, 현대리조텔 2층(봉명동)"
워리어 플랫폼 후속군수지원 방안 연구,국군재정관리단,40253036.0,,2021-10-06,(주)에스티앤비,김영국,정영숙,서울특별시 은평구 서오릉로25길20-4 (구산동) 1층
16년 전자파 측정 및 분석장비 개발 용역,방위사업청(운영지원과),58351612.0,87.268,2020-04-19,사단법인 한국국방기술학회,최진식,김지훈,경상남도 진주시 동진로420 (충무공동)
입체영상 처리 및 분석장비 구매,4284부대,,86.892,2018-04-28,오릭스캐피탈코리아(주),이현미,이동준,전라북도 정읍시 북면공단2길87
21-섬석천 기능개선 분석평가 및 기본계획 연구용역,국군수도병원,23171095.0,84.278,2019-10-15,(주)제트코,이기석,김지훈,서울특별시 영등포구 국제금융로6길33-0 (여의도동)
24-그린나래호텔 리모델링 계획의 적절성 분석연구,국방부(운영지원과),,88.771,2018-04-01,상명대학교산학협력단,장복철,황병윤,"서울특별시 종로구 홍지문2길20-0 (홍지동, 상명대학교)"
전자도서관정보체계 고도화개념연구용역(2019G005-H),국방부(운영지원과),175249283.0,94.164,2016-12-01,주식회사 씨이지앤드플러스,,,"대전광역시 유성구 대학로 99(궁동, 충남대학교)"
K계열 장갑차 엔진 오일펌프 시험장비 개발 연구용역,육군본부,130653452.0,86.053,2021-06-24,,,주진형,"서울특별시 용산구 청파로 40, 삼구빌딩 1815호(한강로3가)"
중금속가열분석기 1항목 구매(의무),해군본부,325637732.0,96.367,2021-04-26,주식회사 대홍관리,홍양희,이호준,"서울특별시 노원구 동일로1456-0 (상계동, 상계주공7단지아파트)"
복합재 항공기 구조물 구조건전성 해석기법 연구용역,국군재정관리단,104102065.0,,2022-01-26,,,,
19-전자파 정밀분석체계 확대구축사업 리스,육군군수사령부,,,,경희대학교산학협력단,양선희,최승룡,서울특별시 성북구 삼선교로16길116-0 (삼선동2가)
국방대 이전 효과 연구 용역,국군재정관리단,,93.915,,주식회사 마에스트로네트웍스,김덕화,한영준,전라북도 무주군 무주읍 향학로27-1
접적해역 상시정찰용 UAV 선행연구용역,국방부(운영지원과),,81.776,,사단법인 안보경영연구원,전건욱,,"서울특별시 강남구 언주로527, 10층 (역삼동)"
ICT기반 입체영상 활용방안 연구 용역,국군재정관리단,367441315.0,,,주식회사 엔브이티,권경득,이창환,"강원특별자치도 원주시 문막읍 귀문로1269-16, 1층 우측"
안보학술진흥연구용역(3.국내안보환경분석또는),해군본부,239297735.0,78.63,2021-10-22,(사)21세기군사연구소,김곤중,한대일,"충청남도 논산시 대학로 121, 건양대학교 산학협력단(내동)"
헬기와 UAV의 통합운용을 위한 비행장 설치방안 연구,육군본부,16533619.0,71.641,,,,김중곤,
16-인성교육프로그램 등 연구 용역 계약,국방부(운영지원과),52770896.0,82.033,,,,,
해상작전헬기 2차사업 기종결정 평가항목/가중치 연구,국군재정관리단,,90.54,,사단법인 안보경영연구원,전건욱,,"서울특별시 강남구 언주로527, 10층 (역삼동)"
빅데이터 분석체계 구축사업 감리 용역,해군군수사령부,213376533.0,86.793,,사단법인 안보경영연구원,전건욱,,"서울특별시 강남구 언주로527, 10층 (역삼동)"
현역-초기대응  예비군-전쟁승리 개념연구 용역,육군본부,386590091.0,,2018-01-15,,,,
연구장비확보(초저온냉동고),해군본부,,,2023-07-29,,,이상규,
재투자 의무장비 구매(1차) - 요분석기,방위사업청(운영지원과),14586116.0,122.784,2019-06-06,사단법인 안보경영연구원,,,"서울특별시 용산구 청파로 40, 삼구빌딩 1815호(한강로3가)"
정신전력 측정도구 및 지표 개발 연구,국방부(운영지원과),,85.536,,(사)21세기군사연구소,,,"서울특별시 금천구 가산디지털2로184, 10층 1017호(가산동, 벽산디지털밸리2차)"
지뢰탐지기(PRS-17K) 제어함 정비기술개발 연구용역,해군본부,,,2020-04-09,육군사관학교 산학협력단,김진욱,,
23-1차 개념설계 기술지원 연구용역,공군본부,27817714.0,,2019-07-07,,,이재원,
해병 과학화경계시스템 추진방안 연구 용역,국군재정관리단,213518713.0,,,에스앤에스이앤지 주식회사,,,충청남도 논산시 양촌면 황산벌로1040
정보분석조용 보관낭 구매,국방부(운영지원과),,,2023-12-06,더스테이지,안상희,이해용,"경기도 고양시 일산동구 강석로33, (백석동, 대우IAAN) 2층 217호"
선진 육군가치문화 조성 연구용역,국군재정관리단,,84.736,,국방대학교산학협력단,장병철,이상규,"서울특별시 노원구 화랑로 621(공릉동, 서울여자대학교)"
24년 자동염기서열분석기 검교정 등 정비,국군의무사령부,,98.31,,(주)아인스에스엔씨,전옥녀,이지유,"경기도 성남시 수정구 창업로54, LH기업성장센터 가동 609호"
주거시설 관리 및 운영 전문성 제고 방안 연구,육군교육사령부,,,,,,,
군 모바일 업무혁신 추진방안 연구용역,육군종합군수학교,,,,연세대학교 산학협력단,김곤중,김지훈,"서울특별시 은평구 진흥로 225,(불광동)"
22-유도/수중무기 창정비 비용 대 효과 분석,육군본부,157236645.0,97.383,,주식회사  인섹시큐리티,류제성,최성숙,"서울특별시 구로구 공원로6나길12-0 (구로동,경방빌딩) 301호"
상비병력 규모 최적 결정을 위한 제도 조합 방안 연구,육군본부,15140560.0,85.555,2021-04-24,사단법인군사정보발전연구소,한영수,심지민,충청남도 아산시 신창면 순천향로22 앙뜨레프레너관 E404호
21년 전투발전 연구용역(3),제9691부대,15611618.0,,,,,,
잠수함 음탐 센서 케이블 다기능 검사기 연구용역,제2879부대,109946244.0,98.147,,사단법인 안보경영연구원,전건욱,,"서울특별시 강남구 언주로527, 10층 (역삼동)"
(236043-G) 23년 모바일·IoT 조사분석체계 도입사업,방위사업청(운영지원과),107385371.0,90.44,2022-08-19,주식회사 디아이,홍수정,이지선,대전광역시 대덕구 한밭대로1158-0 (중리동) 707-1
군 경계작전에 적합한 LED등기구 기준 정립 연구용역,국방대학교,13636475.0,,2019-03-20,,,,"서울특별시 용산구 청파로 40, 삼구빌딩 1815호(한강로3가)"
감염 및 외상분야 군의료 특성화 연구,국방부(운영지원과),41892676.0,,2017-11-27,,,,"서울특별시 용산구 청파로 40, 삼구빌딩 1815호(한강로3가)"
23-1차 개념설계 기술지원 연구용역,육군본부,,,2019-02-14,,,,
미래 트랜드 변화와 육군의 대응방향 연구 용역,공군교육사령부,,,2017-11-12,주식회사 동화이엔지,이강용,김서영,"서울특별시 중구 세종대로39, 대한상공회의소 6층(남대문로4가)"
신기술 적용을 통한 저장시설 물류향상 연구,국군의무사령부,74790246.0,90.405,2016-12-09,아이티 월드,정영주,황혜원,"대전광역시 유성구 자운로157번길132, 912동 102호 (신봉동, 자운대아파트9단지)"
항공전력 도입을 고려한 효율적 운용방안 연구용역,국방부(운영지원과),7622600.0,97.471,2021-01-06,,전건욱,,"서울특별시 용산구 청파로 40, 삼구빌딩 1815호(한강로3가)"
해안복합감시체계 사업 비용분석,국군재정관리단,261600883.0,88.798,,신한관세법인,박승우,정양수,서울특별시 강남구 논현로189길6 (압구정동)
장보고급 잠수함 디젤감시장치 연구개발 용역,육군본부,,,2021-04-25,,,오세형,
21-공-주파수편이용분석기 구매,육군 제3808부대,280555745.0,83.243,2023-08-02,,,이수행,
스펙트럼분석기구매 (20199198-I),국군재정관리단,121956601.0,91.62,2023-04-20,재단법인 한울문화재연구원,신인균,조대현,"대전광역시 유성구 대학로 99(궁동, 충남대학교)"
23-D-액체질량분석기 구매(2310036-F),합동참모본부,44573495.0,82.539,2022-09-03,고려대학교산학협력단,김학준,,"서울특별시 강남구 역삼로17길57, 그랜드빌딩 B1층 (역삼동)"
특수작전용 유탄발사기사업 선행연구,국방부(운영지원과),,84.547,2016-08-25,재단법인 한국군사문제연구원,전건욱,,"서울특별시 강남구 언주로527, 10층 (역삼동)"
[24-육-16] A군단 부대변천사 연구용역,국방부(운영지원과),231385734.0,,,공군사관학교 산학협력단,김동준,안주섭,경상북도 구미시 산호대로 56-1()
항-418-012 생화학분석기 시약 등 97종 구매,공군교육사령부,349604126.0,94.311,2021-06-28,(주)한일종합상사,박종재,민정화,경기도 성남시 수정구 대왕판교로851번길20-0 (시흥동)
스마트 공군력 건설을 위한 조직 발전 방안 연구,국방부(운영지원과),31007193.0,,2020-05-08,넥스케이드,박상길,김재일,"서울특별시 구로구 디지털로30길28 마리오타워 601~605, 618호"
안정화지역 기반시설 복구방안 연구,방위사업청(운영지원과),,,2017-10-21,,,이민재,
한국형 공지기동부대 작전수행개념 연구용역,육군본부,40535304.0,,2019-12-01,,박정기,,"서울특별시 용산구 청파로 40, 삼구빌딩 1815호(한강로3가)"
북단 유도로 신설사업 분석평가 및 선행연구 용역,방위사업청(운영지원과),132271615.0,96.13,,,,,
L-V-C 전투실험체계 구축방안 연구 용역,국군재정관리단,2606273.0,,2021-11-08,사단법인 안보경영연구원,,,
군 자동소음측정망 설치기준 및 운영방안 연구,국방부(운영지원과),549816827.0,,2023-07-27,,,박계향,
해군수병 역량강화 프로그램 추진 연구용역,국군재정관리단,141358079.0,,2020-07-05,노무법인 디와이,오문진,김예빈,"서울특별시 서대문구 연세로 50, 연세대학교(신촌동)"
21년 전투발전 연구용역(3),국군재정관리단,,,2020-05-13,주식회사 다윤테크,임경진,김소라,"제주특별자치도 제주시 연북로21-0, 에코에비뉴 1609호"
방위사업계약 및 지체상금 제도 선진화 개선방안 연구,합동참모본부,207886125.0,99.999,2020-08-30,(유)목양,오현웅,차미정,"서울특별시 노원구 동일로1456-0 (상계동, 상계주공7단지아파트)"
전시 비상급수 기준 수립 연구,공군본부,51815124.0,96.471,,,,,
대용량 유전자데이터 분석 파이프라인 및 가시화 연구,공군본부,105971745.0,108.104,2022-06-28,라온시스템즈(주),서선숙,,서울특별시 영등포구 경인로763-0 (문래동3가) 제9호
24-군 상시학습제도 도입 방안 연구 용역,국군의무학교,218415609.0,89.319,2022-04-15,,박정기,,
